Brand,BrandID
OPPO,0
Infinix,1
Samsung,2
Xiaomi,3
POCO,4
Apple,5
Vivo,6
Tecno,7
Realme,8
itel,9
Huawei,10
iQOO,11
NEXCOM,12
ASUS,13
ZTE,14
Sony,15
MAXTRON,16
Lava,17
Nokia,18
Evercoss,19
Coolmi,20
Lenovo,21
Advan,22
OnePlus,23
Aldo,24
Honor,25
LG,26
Motorola,27
China,28
Luna,29
Black,30
Google,31
Smartfren,32
SPC,33
Sharp,34
Mito,35
Doogee,36
Meizu,37
CAT,38
BlackBerry,39
Razer,40
UMIDIGI,41
BOLT,42
Himax,43
Wiko,44
Microsoft,45
Axioo,46
Alcatel,47
Acer,48
OUKITEL,49
Blackview,50
Genpro,51
NOTHING,52
Prince,53
HuangMi,54
Gome,55
HTC,56
i-Cherry,57
Ulefone,58
Coolpad,59
KEN,60
iMI,61
nuu,62
BLUBOO,63
